Site	Left	Right	Strand	Transcription-Units
Spo0A DNA-binding-site regulating PM8J2-814			+	yqcGF
Spo0A DNA-binding-site regulating PM8J2-815			+	ycgMN
Spo0A DNA-binding-site regulating PM8J2-816			-	yusED
Spo0A DNA-binding-site regulating PM8J2-817			-	yfmIJ
Spo0A DNA-binding-site regulating PM8J2-818			+	yneEF
Spo0A DNA-binding-site regulating PM8J2-819			-	yttP
Spo0A DNA-binding-site regulating PM8J2-820			+	yppF
Spo0A DNA-binding-site regulating PM8J2-821			-	yppDE
Spo0A DNA-binding-site regulating PM8J2-822			-	yxbCD
Spo0A DNA-binding-site regulating PM8J2-918			+	ylmDEFGH
Spo0A DNA-binding-site regulating PM8J2-919			+	yaaDE
Spo0A DNA-binding-site regulating PM8J2-921			+	rok
Spo0A DNA-binding-site regulating PM8J2-922			-	soj-spo0J
Spo0A DNA-binding-site regulating PM8J2-925			+	yvyE-yvhJ
Spo0A DNA-binding-site regulating PM8J2-926			+	divIVA
Spo0A DNA-binding-site regulating PM8J2-927			+	fruRKA
Spo0A DNA-binding-site regulating PM8J2-928			-	ykaA-pit
Spo0A DNA-binding-site regulating PM8J2-931			-	ftsEX
Spo0A DNA-binding-site regulating PM8J2-932			-	yrrL
Spo0A DNA-binding-site regulating PM8J2-934			+	yqzDC
Spo0A DNA-binding-site regulating PM8J2-935			+	tkt
Spo0A DNA-binding-site regulating PM8J2-96			-	rocDEF
Spo0A DNA-binding-site regulating PM8J2-970			+	sdp
Spo0A DNA-binding-site regulating tapAp			-	tapA-sipW-tasA
SpoIIID DNA-binding-site 1.0 bases upstream of spoVDp	1584185	1584185	+	spoVD
SpoIIID DNA-binding-site 121.0 bases downstream of PM8J2-341	2653074	2653074	+	spoIVCB-spoIIIC
SpoIIID DNA-binding-site 145.5 bases downstream of PM8J2-342	2654840	2654840	-	spoIVCA
SpoIIID DNA-binding-site 2.5 bases upstream of PM8J2-365	29742	29742	+	bofA
SpoIIID DNA-binding-site 26.0 bases upstream of PM8J2-341	2652928	2652928	+	spoIVCB-spoIIIC
SpoIIID DNA-binding-site 27.0 bases upstream of spoVDp	1584159	1584159	+	spoVD
SpoIIID DNA-binding-site 29.5 bases upstream of PM8J2-342	2655014	2655014	-	spoIVCA
SpoIIID DNA-binding-site 30.0 bases upstream of PM8J2-349	3777814	3777814	-	spoIID
SpoIIID DNA-binding-site 30.5 bases upstream of PM8J2-156	2333073	2333073	-	cotD
SpoIIID DNA-binding-site 33.5 bases upstream of PM8J2-363	755844	755844	+	cotJABC-yesJK
SpoIIID DNA-binding-site 51.0 bases upstream of PM8J2-157	1905272	1905272	-	cotC
SpoIIID DNA-binding-site 64.0 bases downstream of PM8J2-365	29807	29807	+	bofA
SpoIIID DNA-binding-site 66.5 bases downstream of PM8J2-156	2332977	2332977	-	cotD
SpoIIID DNA-binding-site 69.0 bases upstream of PM8J2-156	2333111	2333111	-	cotD
SpoIIID DNA-binding-site 89.0 bases downstream of PM8J2-341	2653042	2653042	+	spoIVCB-spoIIIC
SpoIIID DNA-binding-site regulating asnOp			+	asnO
SpoIIID DNA-binding-site regulating PM8J2-139			-	gerE
SpoIIID DNA-binding-site regulating PM8J2-146			-	cotT
SpoIIID DNA-binding-site regulating PM8J2-154			+	cotF
SpoIIID DNA-binding-site regulating PM8J2-159			-	cotA
SpoIIID DNA-binding-site regulating PM8J2-295			+	yqfZY
SpoIIID DNA-binding-site regulating PM8J2-296			-	yqfCD
SpoIIID DNA-binding-site regulating PM8J2-298			-	ypjB
SpoIIID DNA-binding-site regulating PM8J2-305			-	ylbJ
SpoIIID DNA-binding-site regulating PM8J2-306			+	ykvUV
SpoIIID DNA-binding-site regulating PM8J2-327			+	ycgFG
SpoIIID DNA-binding-site regulating PM8J2-328			-	ybaN
SpoIIID DNA-binding-site regulating PM8J2-333			+	spoVM
SpoIIID DNA-binding-site regulating PM8J2-339			+	spoVB
SpoIIID DNA-binding-site regulating PM8J2-340			-	spoIVFAB
SpoIIID DNA-binding-site regulating PM8J2-358			-	gerM
SpoIIID DNA-binding-site regulating PM8J2-963			-	yitE
SpoIIID DNA-binding-site regulating spoIVA-P1			-	spoIVA // spoIVA
SpoIIID DNA-binding-site regulating spoVK-P1			+	spoVK
SpoVT DNA-binding-site regulating gerAAp			+	gerAABC // gerAABC
SpoVT DNA-binding-site regulating gerDp			-	gerD
SpoVT DNA-binding-site regulating gerKAp			+	gerKACB
SpoVT DNA-binding-site regulating glcUp			+	glcU-gdh
SpoVT DNA-binding-site regulating PM8J2-230			-	sspD
SpoVT DNA-binding-site regulating PM8J2-232			-	sspB
SpoVT DNA-binding-site regulating PM8J2-233			-	sspA
SpoVT DNA-binding-site regulating PM8J2-234			+	spoVT
SpoVT DNA-binding-site regulating PM8J2-236			-	spoIVB
SpoVT DNA-binding-site regulating PM8J2-242			-	gpr
SpoVT DNA-binding-site regulating PM8J2-246			+	gerBABC
SpoVT DNA-binding-site regulating PM8J2-249			-	dacF-spoIIAAB-sigF
SpoVT DNA-binding-site regulating PM8J2-250			+	csgA-ybxH
SpoVT DNA-binding-site regulating spoVAAp			-	spoVAABCDEBEAF
SpxA DNA-binding-site regulating bshCp			+	bshC
SpxA DNA-binding-site regulating yoyCp			-	yoyC-yojF-bshB2
SpxA DNA-binding-site regulating ypjDp			-	ypjD-dapB-mgsA-bshB1-bshA-cca-birA
SpxA DNA-binding-site regulating ytpPp			-	ytpPQR
TagU DNA-binding-site regulating PD			-	lytABC
TagU DNA-binding-site regulating PX			+	lytR
TenA DNA-binding-site regulating PM8J2-576			+	sacB-yveBA
TenA DNA-binding-site regulating PM8J2-627			-	phoA
TenA DNA-binding-site regulating PM8J2-792			-	aprE
TenA DNA-binding-site regulating PM8J2-851			-	nprE
TenI DNA-binding-site regulating PM8J2-958			+	tenAI-goxB-thiSGF-yjbV
ThrR DNA-binding-site 29 bases downstream of homp	3316152	3316193	-	hom-thrCB
TnrA DNA-binding-site 13.5 bases downstream of PM8J2-705	2014676	2014676	-	gltAB
TnrA DNA-binding-site 201.5 bases upstream of PM8J2-682	2897656	2897656	-	ilvBHC-leuABCD
TnrA DNA-binding-site 27.0 bases upstream of PM8J2-711	1877908	1877908	+	glnRA
TnrA DNA-binding-site 48.5 bases upstream of PM8J2-526	290840	290840	+	yccC
TnrA DNA-binding-site 49 bases upstream of degUp2	3645439	3645456	-	degU
TnrA DNA-binding-site 49.0 bases upstream of PM8J2-644	3756696	3756696	+	nrgAB
TnrA DNA-binding-site 49.0 bases upstream of ykzBp	1397860	1397860	+	ykzB-ykoL
TnrA DNA-binding-site 50.0 bases upstream of nasBp	362847	362847	-	nasBCDEF
TnrA DNA-binding-site 50.0 bases upstream of PM8J2-648	362847	362847	+	nasA
TnrA DNA-binding-site 50.0 bases upstream of PM8J2-711	1877885	1877885	+	glnRA
TnrA DNA-binding-site 52.0 bases upstream of gabP-P2	686660	686660	-	gabP
TnrA DNA-binding-site regulating PM8J2-368	3989210	3989210	+	yxkC
TnrA DNA-binding-site regulating PM8J2-772			+	citB
TnrA DNA-binding-site regulating PM8J2-844	3720803	3720803	-	ywrD
TnrA DNA-binding-site regulating PM8J2-845			+	ycsFGI-kipIAR-ycsK
TnrA DNA-binding-site regulating PM8J2-846	1397832	1397832	-	tnrA
TnrA DNA-binding-site regulating PM8J2-848	1219627	1219627	+	oppABCDF
TnrA DNA-binding-site regulating PM8J2-850	2801888	2801888	+	glnQHMP
TnrA DNA-binding-site regulating PM8J2-916	827959	827959	+	pel
TnrA DNA-binding-site regulating PM8J2-951	4159520	4159520	+	yycCB
TnrA DNA-binding-site regulating PM8J2-952	3791811	3791811	-	ywlFG
TnrA DNA-binding-site regulating PM8J2-953	3896223	3896223	-	ywdIJK
TnrA DNA-binding-site regulating PM8J2-954	3108560	3108560	+	yttA
TnrA DNA-binding-site regulating PM8J2-955	2130125	2130125	+	yodF
TnrA DNA-binding-site regulating PM8J2-957	1938873	1938873	+	alsT
TnrA DNA-binding-site regulating PM8J2-98			-	ptb-bcd-buk-lpdV-bkdAABB
TreR DNA-binding-site 11.5 bases downstream of PM8J2-544	850332	850332	+	trePAR
TreR DNA-binding-site 21.5 bases upstream of PM8J2-544	850300	850300	+	trePAR
TRNA_24 DNA-binding-site (BS8J2-45)				
TRNA_30 DNA-binding-site (BS8J2-46)	20797	20797		
TRNA_35 DNA-binding-site (BS8J2-47)				
TRNA_51 DNA-binding-site (BS8J2-50)				
TRNA_66 DNA-binding-site (BS8J2-48)				
WalR DNA-binding-site 162.0 bases upstream of PM8J2-548	3681253	3681253	-	tagDEF
WalR DNA-binding-site 21 bases upstream of wapAp	4030596	4030613	-	wapA-yxxG
WalR DNA-binding-site 54.0 bases upstream of ftsA-P3	1596134	1596134	+	ftsAZ
WalR DNA-binding-site 65.5 bases upstream of PM8J2-503	2093868	2093868	-	yocH
WalR DNA-binding-site regulating PM8J2-826	1448292	1448292	+	ykvT
WalR-P DNA-binding-site 2 bases downstream of sigI-S2	1411777	1411777	+	sigI-rsgI // sigI-rsgI
WalR-P DNA-binding-site 60 bases upstream of mreBH-Pi	1517672	1517689	-	mreBH-ykpC
WalR-P DNA-binding-site 63 bases upstream of sigI-S2	1411705	1411722	+	sigI-rsgI
WalR-P DNA-binding-site 71 bases upstream of sigIp	1411792	1411807	+	sigI-rsgI
WalR-P DNA-binding-site regulating cwlOp			-	cwlO
WalR-P DNA-binding-site regulating iseAp			+	iseAp // iseA
WalR-P DNA-binding-site regulating lytE-Pi	1018817	1018834	+	lytE
WalR-P DNA-binding-site regulating pdaCp			+	pdaCp // pdaC
WalR-P DNA-binding-site regulating ydjMp			+	ydjM
Xpf DNA-binding-site regulating PM8J2-836			+	xtmAB-xkdEFGHIJKM
Xre DNA-binding-site regulating PM8J2-947 (BS8J2-323)	1321766	1321766	-	xre
Xre DNA-binding-site regulating PM8J2-947 (BS8J2-324)	1321830	1321830	-	xre
Xre DNA-binding-site regulating PM8J2-948 (BS8J2-325)	1321724	1321724	+	xkdBCD-xtrA
Xre DNA-binding-site regulating PM8J2-948 (BS8J2-326)	1321781	1321781	+	xkdBCD-xtrA
XylR DNA-binding-site 15.5 bases downstream of PM8J2-532	1891819	1891819	+	xylAB
XylR DNA-binding-site 16.5 bases downstream of PM8J2-530	1887047	1887047	+	xynPB
YclJ DNA-binding-site 39 bases upstream of yclIp	426446	426523	-	yclIH
YclJ DNA-binding-site 42 bases upstream of ykcBp	1354208	1354242	+	ykcBC
YclJ DNA-binding-site 43 bases upstream of yngAp	1946170	1946220	+	yngABC
YclJ DNA-binding-site regulating yycAp	4161034	4161066	+	yycA
YdfI DNA-binding-site 49.5 bases upstream of PM8J2-4	589632	589632	+	ydfJ
YfhP DNA-binding-site regulating yfhQ-P2			+	yfhQ-fabL-sspE
YodB DNA-binding-site 17 bases upstream of spxAp	1227587	1227617	+	spxA
YodB DNA-binding-site regulating catDp			+	catDE
YodB DNA-binding-site regulating yocJp	2097007	2097022	-	yocJ // yocJ-ssrSA
YqfL DNA-binding-site regulating PM8J2-939			-	ccpN-yqfL
YtrA DNA-binding-site 1 bases downstream of ywoBp	3756522	3756560	-	ywoBCD
YtrA DNA-binding-site 12 bases downstream of ytrGp	3119450	3119494	-	ytrGABCDEF
YvrH DNA-binding-site regulating PD			-	lytABC // lytABC
YvrH DNA-binding-site regulating PM8J2-25			-	sigX-rsiX // sigX-rsiX
YvrH DNA-binding-site regulating PM8J2-830			+	wprA
YvrH DNA-binding-site regulating PM8J2-831			-	sunT-bdbA-yolJ-bdbB
YvrH DNA-binding-site regulating sigOp			-	yvrI-yvrHa
YvrH DNA-binding-site regulating sunAp			-	sunAT-bdbA-yolJ-bdbB
YvrH DNA-binding-site regulating wapAp			-	wapA-yxxG
YwaE DNA-binding-site regulating ywaEp	3946353	3946366	+	ywaEp // tyrZ // tboYB // ywaE
Zur-Zinc DNA-binding-site 16.5 bases downstream of ycdHp	308288	308288	+	ycdHI-yceA
Zur-Zinc DNA-binding-site 4.5 bases downstream of yciAp	364225	364225	+	yciABC
Zur-Zinc DNA-binding-site 5 bases downstream of rpmEBp	3139244	3139265	-	rpmEB
Zur-Zinc DNA-binding-site 5 bases downstream of yciCp	365792	365820	+	yczL-yciC
Zur-Zinc DNA-binding-site 6 bases downstream of rpsNBp	965870	965891	+	rpsNB
Zur-Zinc DNA-binding-site regulating zinTp			-	zinT
