bnum,Promoter,strand,tss,detection,reads,translation_start,utr_len
b3932,hslV,-,4120377,D,825,4120310,67
b3938,metJ,-,4126489,D,129,4126418,71
b3938,metJ,-,4126552,D,407,4126418,134
b3938,metJ,-,4126581,D,17,4126418,163
b3956,ppc,-,4151213,D,1147,4151121,92
b3957,argE,-,4152920,D,1004,4152870,50
b3957,argE,-,4153101,D,13,4152870,231
b3965,trmA,-,4161318,D,7,4161293,25
b3974,coaA,-,4173130,D,54,4173049,81
b3995,rsd,-,4194882,D,18,4194831,51
b3995,rsd,-,4194977,D,1,4194831,146
b4018,iclR,-,4221675,D,23,4221651,24
b4024,lysC,-,4231562,D,126,4231256,306
b4024,lysC,-,4231639,ND,,4231256,383
b4034,malE,-,4244487,D,29,4244442,45
b4041,plsB,-,4254621,D,11,4254489,132
b4051,qor,-,4262327,D,174,4262254,73
b4058,uvrA,-,4271956,D,1,4271894,62
b4062,soxS,-,4275446,D,49,4275406,40
b4079,fdhF,-,4297430,D,3,4297389,41
b4089,rpiR,-,4311155,ND,,4311014,141
b4089,rpiR,-,4311160,ND,,4311014,146
b4106,phnC,-,4323229,ND,,4323188,41
b4116,adiY,-,4336065,ND,,4335952,113
b4117,adiA,-,4338579,D,5,4338547,32
b4118,melR,-,4339673,D,9,4339651,22
b4123,dcuB,-,4346787,D,1,4346767,20
b4123,dcuB,-,4347114,D,12,4346767,347
b4124,dcuR,-,4348588,ND,,4348057,531
b4125,dcuS,-,4349708,D,17,4349685,23
b4129,lysU,-,4352820,D,160,4352740,80
b4129,lysU,-,4352828,ND,,4352740,88
b4132,cadB,-,4358129,ND,,4358054,75
b4133,cadC,-,4359986,D,15,4359957,29
b4135,yjdC,-,4361353,D,44,4361331,22
b4137,cutA,-,4363415,D,4,4363379,36
b4138,dcuA,-,4364866,D,6,4364796,70
b4149,blc,-,4375768,D,28,4375745,23
b4150,ampC,-,4377026,D,79,4376967,59
b4160,psd,-,4388661,D,40,4388383,278
b4189,yjfO,-,4414787,D,35,4414793,-6
b4192,ulaG,-,4417698,D,21,4417648,50
b4206,ytfB,-,4426842,D,40,4426740,102
b4209,ytfE,-,4430032,D,2,4430006,26
b4213,cpdB,-,4434652,D,31,4434588,64
b4216,ytfJ,-,4437309,D,1,4437285,24
b4219,msrA,-,4440284,D,146,4440199,85
b4223,yjfA,-,4446317,ND,,4446268,49
b4226,ppa,-,4447709,D,7880,4447675,34
b4238,nrdD,-,4460861,D,10,4460683,178
b4240,treB,-,4464233,D,22,4464203,30
b4241,treR,-,4465294,D,8,4465269,25
b4241,treR,-,4465298,D,5,4465269,29
b4241,treR,-,4465314,ND,,4465269,45
b4241,treR,-,4465370,D,3,4465269,101
b4243,yjgF,-,4468969,D,273,4468936,33
b4246,pyrL,-,4470576,D,140,4470556,20
b4246,pyrL,-,4470769,D,1,4470556,213
b4258,valS,-,4481942,D,871,4481860,82
b4258,valS,-,4481950,D,106,4481860,90
b4259,holC,-,4482296,D,4,4482303,-7
b4267,idnD,-,4492458,D,2,4492429,29
b4291,fecA,-,4514750,D,9,4514700,50
b4293,fecI,-,4516305,D,3,4516258,47
b4311,nanC,-,4537951,ND,,4537524,427
b4321,gntP,-,4549357,D,1,4549319,38
b4362,dnaT,-,4599638,D,3,4599540,98
b4363,yjjB,-,4600200,ND,,4600120,80
b4364,yjjP,-,4601057,D,1,4600881,176
b4387,ytjB,-,4622822,D,1,4622812,10
b4396,rob,-,4633376,D,157,4633333,43
b4401,arcA,-,4638531,D,20,4638329,202
b4401,arcA,-,4638535,D,31,4638329,206
b4401,arcA,-,4638558,D,9,4638329,229
b4401,arcA,-,4638622,D,128,4638329,293
b4401,arcA,-,4638704,D,75,4638329,375
b4401,arcA,-,4638711,D,5,4638329,382
b4401,arcA,-,4638824,D,2,4638329,495
